Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 3, 80.625%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 4, 81.09756097560977%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 5, 81.25%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 6, 81.25%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 7, 75.59523809523809%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 8, 79.65116279069767%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 9, 78.48837209302324%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 10, 82.38636363636364%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 11, 81.5340909090909%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 12, 80.27777777777779%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 13, 80.97826086956522%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 14, 82.6086956521739%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 15, 83.96739130434783%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 16, 82.4468085106383%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 17, 78.45744680851064%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 18, 81.88775510204081%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 19, 83.59375%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 20, 83.92857142857143%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 21, 82.0%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 22, 81.5%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 23, 80.88235294117648%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 24, 81.97115384615384%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 25, 85.33653846153845%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 26, 83.49056603773585%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 27, 84.77272727272728%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 28, 82.63888888888889%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 29, 83.03571428571429%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 30, 83.70535714285714%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 31, 83.33333333333334%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 32, 81.25%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 33, 79.87288135593221%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 34, 81.45833333333333%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 35, 81.45833333333333%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 36, 82.05645161290323%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 37, 84.2741935483871%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 38, 85.546875%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 39, 83.59375%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 40, 83.84615384615385%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 41, 86.00746268656717%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 42, 84.375%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 43, 86.95652173913044%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 44, 85.17857142857143%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 45, 83.50694444444444%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 46, 84.93150684931507%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 47, 86.99324324324324%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 48, 87.5%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 49, 84.74025974025975%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 50, 85.60126582278481%
